codec,hw_accel,power
H264,True,4.07481678056352
H265,True,5.597624947031934
AV1,False,13.960303347858995
H264,True,4.046924549119606
AV1,False,14.203015072859507
H264,True,4.033834918050522
H264,False,13.990423618771064
H264,False,13.516792076593875
H265,False,13.571858243616422
H264,True,3.9664881644264547
H265,False,13.738263479623603
H265,False,13.777974951595658
H265,True,4.587753177730192
H264,False,13.727786660957156
H264,False,13.786805690473802
AV1,False,14.325199464685632
H265,True,4.204406647685808
AV1,False,14.102713499076051
H264,True,4.04736923501454
H265,True,4.17819626207042
H264,True,4.127068147954312
H265,True,4.373038938820443
AV1,False,14.066317622202138
H264,True,4.028057634144119
H264,True,4.238635472969571
H264,False,13.798446420592343
H264,True,3.96921545009896
AV1,False,14.141178501222855
AV1,False,13.951864723818506
H265,True,4.119870024185386
H265,False,13.944502175760512
H264,False,13.672369114208086
AV1,False,13.887280651411803
H265,True,4.213571501240963
H264,True,3.944954969062593
AV1,False,14.016439725439488
H264,False,13.699686275825382
H264,True,4.033475002466393
H264,False,13.819434591430284
H265,False,13.731887933110922
H265,True,4.18429831752642
H265,True,4.247362107276113
H265,False,14.516302373113497
H264,True,3.9592661428956895
H265,True,4.235056673746271
H264,True,4.141008952110528
H265,True,4.251520357885488
H265,False,13.916758348243347
H264,True,4.141397555160844
H264,False,13.4235624728716
H265,False,13.611352691537538
H265,True,4.170666837158646
AV1,False,13.905612913752996
H265,False,13.863354130224215
H265,False,13.684034570710226
H264,True,3.9301198705677787
H265,True,4.162228350640287
H264,False,13.744510466833209
H264,False,13.68884842045404
H264,True,4.198341775635677
H265,False,13.934782328619676
H264,True,3.9972575169166227
H264,True,4.122225822345346
H264,False,13.654315652732524
H265,True,4.463757818331089
H265,True,4.2402293018329225
H265,False,13.867741276085496
H265,False,13.893321343164367
H265,False,13.821056098977445
H264,False,13.656432593748717
H264,True,3.9819446187411076
H265,False,13.806203539831657
H265,True,4.21727700761424
H264,True,4.071857894685443
H264,True,4.066311140855482
H265,False,13.898712068449996
H264,True,4.04503475616204
H265,True,4.327040926346002
H264,True,4.055543739672925
H264,False,13.952890091903658
H265,False,14.024976531435362
AV1,False,14.004234166534548
H265,True,4.22370943746314
AV1,False,14.425191082360191
H265,False,13.847658134977063
AV1,False,13.981419007819513
H265,False,13.671479419394597
H264,False,13.531456317208159
H264,True,4.06197944305076
H265,False,13.903395807706767
H264,False,13.81911238987447
H264,False,13.612575503693831
AV1,False,14.058460491125015
AV1,False,14.017409691102182
AV1,False,14.0792621360267
H265,True,4.183879723098401
H265,True,4.1529567454594405
H265,False,14.000007038544833
H264,False,13.721265568087622
AV1,False,14.156302843616569
H264,True,4.07682013226758
H264,True,3.9941432842205913
H264,False,13.918371921867301
H265,False,13.886462812613576
AV1,False,14.16884021386614
H265,True,4.174479254508261
H265,False,13.845299832712309
H265,True,4.2456878983983515
AV1,False,14.073965823892136
H264,False,13.772261770148026
AV1,False,14.013968566825476
H265,False,13.899637230365924
H265,True,4.250334083145518
H265,False,13.829211574255988
H265,False,13.939020832696496
H265,True,4.856923619289774
H265,True,4.198631778494545
H265,True,4.176078274742495
H265,True,4.282724544501852
AV1,False,14.095298745865545
H264,False,13.811870213659123
AV1,False,14.448854917965546
H265,False,13.824283912188434
H264,False,13.612560443173672
H264,False,13.64878786721022
H264,False,13.706668407791659
H264,True,3.9766614970662326
H265,False,14.016142692155114
H264,False,13.645345466025963
H265,False,13.75878597919701
AV1,False,13.991765960697796
AV1,False,13.981222355186622
H265,True,4.1483099953949365
AV1,False,14.2175607570753
H264,True,3.9421229533700473
AV1,False,14.20747711099676
H265,True,4.213116698960971
H264,True,4.105593690089377
H264,True,4.434307066023376
AV1,False,14.165720218791051
H264,False,13.809879377953443
H264,False,13.797474271229186
H265,False,13.948911127923918
AV1,False,13.927473908838046
H264,False,13.722614109065633
AV1,False,14.105314230667009
AV1,False,13.996612307212141
H265,True,4.243748597646659
